Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2001-01-02,15.425,15.242,15.621,15.174,"230,63M","1,09%"
2001-01-03,16.599,15.425,16.599,15.251,"381,20M","7,61%"
2001-01-04,16.675,16.597,16.933,16.587,"331,23M","0,46%"
2001-01-05,16.41,16.679,16.888,16.38,"199,69M","-1,59%"
2001-01-08,16.562,16.398,16.623,16.226,"160,70M","0,93%"
2001-01-09,16.976,16.566,17.096,16.566,"346,48M","2,50%"
2001-01-10,16.919,16.964,17.093,16.701,"256,51M","-0,34%"
2001-01-11,17.024,16.908,17.045,16.797,"201,85M","0,62%"
2001-01-12,16.85,17.034,17.212,16.821,"212,47M","-1,02%"
2001-01-15,16.963,16.858,17.038,16.858,"955,31M","0,67%"
2001-01-16,16.721,16.973,17.035,16.662,"214,89M","-1,43%"
2001-01-17,17.191,16.748,17.255,16.745,"401,27M","2,81%"
2001-01-18,17.521,17.204,17.642,17.151,"652,57M","1,92%"
2001-01-19,17.53,17.525,17.816,17.512,"290,07M","0,05%"
2001-01-22,17.392,17.548,17.578,17.297,"152,63M","-0,79%"
2001-01-23,17.832,17.381,17.864,17.376,"325,48M","2,53%"
2001-01-24,17.772,17.849,18.022,17.698,"361,24M","-0,34%"
2001-01-26,17.889,17.776,17.933,17.591,"260,42M","0,66%"
2001-01-29,17.883,17.906,18.023,17.704,"198,93M","-0,03%"
2001-01-30,17.723,17.882,17.898,17.668,"285,83M","-0,89%"
2001-01-31,17.673,17.725,17.921,17.637,"213,72M","-0,28%"
2001-02-01,17.039,17.67,17.673,16.977,"319,39M","-3,59%"
2001-02-02,16.915,17.027,17.206,16.781,"199,36M","-0,73%"
2001-02-05,16.731,16.914,16.941,16.539,"137,05M","-1,09%"
2001-02-06,17.007,16.734,17.017,16.734,"149,52M","1,65%"
2001-02-07,16.812,17.003,17.003,16.63,"176,16M","-1,15%"
2001-02-08,17.243,16.814,17.279,16.814,"205,56M","2,56%"
2001-02-09,17.138,17.257,17.27,17.05,"161,35M","-0,61%"
2001-02-12,16.917,17.163,17.234,16.883,"134,71M","-1,29%"
2001-02-13,17.096,16.922,17.174,16.883,"146,75M","1,06%"
2001-02-14,17.12,17.078,17.286,16.89,"239,22M","0,14%"
